Punto,Centro,Norte,Sur,Oriente,Poniente,Arboreo,Arbustivivo,Herbaceo,Punto2
1C,34.26,13.25,6.36,75.08,0,6.7,2.06,1.8,C
2C,11.2,0.73,0,55.88,0,8.7,3.2,1.24,C
3C,15.47,0.12,0.15,79.9,0,4.8,1.94,0.85,C
4C,55.26,9.34,78.09,72.48,0.68,7.8,1.74,1.1,C
5C,14.12,61.46,44.13,75.4,0,7.2,1.98,1.42,C
6C,79.52,48.46,52.69,70.77,0.55,5.6,3.05,1.06,C
7C,3.95,2.69,70.39,64.7,3.63,5,2.64,2.05,C
8C,3.98,14.1,11.28,75.42,10.96,8.6,2.7,1.29,C
9C,49.75,60.68,69.27,75.42,5.04,9,3.15,1.6,C
10C,53.77,36.78,65.46,59.21,7.94,11,2.2,0.6,C
1T,62.34,78.27,85.89,76.72,24.77,11.5,5,0.9,T
2T,80.45,75.68,27.11,64.93,68.52,7.5,5.5,1,T
3T,67.9,42.69,72.81,4.61,33.7,8,4.16,1.19,T
4T,78.88,62.5,77.15,76.55,68.15,19.5,2.5,0.75,T
5T,70.8,86.46,85.24,66.75,73.76,10.5,5.1,1,T
6T,55.92,9.14,10.85,39.86,44.25,11.5,2,0.58,T
7T,67,78.51,79.86,62.06,42.04,14.5,4.5,0.71,T
8T,20.35,20.13,13.79,12.21,48.42,13.5,2.3,1,T
9T,81.94,77.38,74.26,63.51,78.42,21.6,3.5,0.96,T
